Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
0.499,0.743,1.791,37,0.1,2.17,1.47,0,3.18,9
0.961,0.397,0.074,26,1.84,0.77,0,0,1.74,9
0.373,0.48,0.557,40,4.27,2.76,0.3,0.3,1.58,6
0.262,0.562,0.75,39,2.96,2.96,1.06,0.5,1.87,6
6.561,7.393,0.684,206,9.95,1.9,0.49,0,17.35,12
0.433,0.882,0.375,125,3.87,22.59,0.14,1.4,1.94,12
0.007,0.004,0.014,4,0,1.08,0,0,0,1
0,0,0,32,0,8.3,8.32,0,0.03,1
0.195,0.171,0.452,77,2.99,13.31,1.6,1.1,1.27,3
0.564,0.903,1.236,25,0.01,0.04,0,0,2.79,3
0.001,0.001,0.002,1,0,0.18,0,0,0,1
3.687,1.364,0.214,119,6.5,9.26,9.54,0,6.34,1
0.057,0.05,0.131,19,0.66,3.44,0.37,0.2,0.25,3
0.067,0.096,0.256,4,0.01,0,0,0,0.43,3
0.027,0.037,0.017,1,0.04,0.02,0.01,0,0.09,3
0.038,0.017,0.003,1,0.05,0.03,0.02,0,0.07,3
0.005,0.038,0.003,3,0.31,0,0,0,0.05,1
1.149,0.588,0.024,32,0.15,3.56,0.47,0,1.98,1
0,0,0,7,0.02,1.78,1.7,0,0,1
0.005,0,0.005,39,0.25,9.83,8.34,0,0.04,1
0,0,0,48,0,12.45,12.48,0,0.04,1
0.779,0.369,0.031,23,1.23,1.79,1.79,0,1.24,1
3.764,8.607,6.804,334,21.76,13.4,1.19,0.8,20.94,12
1.866,2.019,5.065,118,0.56,7.45,2.38,0.3,9.35,12
0.451,0.394,1.028,148,5.18,27.03,2.93,1.3,1.97,3
2.397,0.981,0.142,33,0.04,0,0,0,3.79,3
0.002,0.008,0,56,0.07,13.77,9.7,0.2,0.01,3
0,0,0,191,2.03,49.82,27.35,2.7,0.55,9
1.933,10.215,1.473,124,0,0,0,0,14,9
0.584,0.788,1.116,243,5.45,53.42,13.91,5.7,2.68,2
6.619,2.448,0.384,214,11.67,16.62,17.12,0,11.39,2
0.037,0.005,0.032,15,0.65,3.63,1.67,0.5,0.11,9
0.002,0.002,0.007,1,0.22,0.13,0.01,0,0.02,9
1.992,0.737,0.112,151,11.86,18.2,17.4,0,3.33,1
0,0,0,155,0,38.65,34.5,0,0,1
7.863,16.573,30.938,981,12.23,101.51,0.74,6.9,60.16,14
0.016,0.014,0.061,23,1.12,5.26,2.97,1.4,0.15,14
1.168,1.376,2.759,107,1.39,12.87,1.72,0.5,5.55,3
7.896,12.641,17.298,348,0.11,0.56,0,0,39.08,3
1.632,0.632,0.1,35,1.98,0.21,0.03,0,2.89,3
0,0,0,4,0,0.97,0.97,0,0,1
0,0,0,0,0,0,0,0,0,1
0.007,0,0.007,0,0.36,0,0,0,0,1
1.125,0.576,0.024,31,0.15,3.48,0.46,0,1.93,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.011,0.001,0.018,7,0.18,1.78,1.72,0.2,0.04,10
0.008,0.001,0.013,8,0.12,1.98,1.77,0.2,0.03,10
0.003,0.008,0.011,7,0.13,1.65,1.35,0.1,0.03,10
0.002,0.003,0.009,12,0.13,3.04,2.29,0.3,0.03,10
3.839,6.392,1.455,211,4.52,21.02,3.93,0.6,12.37,3
2.746,5.665,1.336,210,3.05,27.01,15.55,1.1,10.45,3
0.337,0.68,1.292,57,0.85,8.13,0.09,0.6,2.48,14
0.009,0.008,0.034,13,0.63,2.96,1.67,0.8,0.08,14
0.2,0.42,0.256,83,2.72,15.46,1.23,1.9,1.06,3
1.212,3.048,1.476,72,2.7,2.68,1.26,0.6,6.13,3
0.005,0.038,0.003,3,0.31,0,0,0,0.05,1
1.625,0.642,0.111,26,0.2,0.64,0.64,0,2.55,1
0,0,0,16,0,4.15,4.16,0,0.01,1
2.189,7.23,6.676,266,3.56,30.58,2.99,2.1,16.99,14
4.78,9.545,14.452,390,21.2,10.08,6.92,1.9,30.25,14
0,0,0,7,0,1.84,1.13,0,0,1
0,0,0,0,0,0,0,0,0,1
1.528,3.08,5.856,257,3.86,36.86,0.42,2.9,11.25,14
7.231,2.802,0.444,154,8.78,0.92,0.12,0,12.81,14
0,0,0,43,0.53,10.18,9.41,0,0,1
0,0,0,11,0.6,1.68,0,0,0.19,1
0.006,0,0.006,9,0.31,1.89,0,0,0.01,1
0.375,0.192,0.008,10,0.05,1.16,0.15,0,0.65,1
0.265,0.223,0.584,92,4.46,15.63,1.6,2.2,1.29,3
1.199,0.49,0.071,17,0.02,0,0,0,1.89,3
0.001,0.001,0.002,9,0,2.32,1.4,0,0,3
13.75,6.012,0.915,419,7.09,47.79,42.97,1.4,22.28,8
1.295,1.004,1.347,79,0.82,10.46,5.26,0.3,3.96,8
0.243,0.143,0.36,199,2.13,48,19.07,1.2,0.9,2
2.37,0.854,0.124,107,7.15,10.48,10.44,0,4.06,2
1.116,6.222,2.718,175,2.1,17.66,0.11,1,11.15,14
0.008,0.005,0.032,1,0.1,0.06,0.01,0,0.06,14
0.088,0.164,0.29,86,2.26,18.09,0.5,0.8,0.66,3
5.685,0,0,108,1.08,12.47,10.81,1.1,5.95,3
1.616,4.064,1.968,96,3.6,3.57,1.68,0.8,8.18,3
0.014,0.104,0.007,7,0.83,0,0,0,0.14,1
0,0,0,27,0,6.97,6.99,0,0.02,1
1.162,4.531,0.016,82,0.6,6.83,6.83,0,5.98,1
4.219,1.992,0.332,79,1.88,2.58,2.48,0,6.9,1
0.338,0.856,0.871,99,2.88,16.42,0.3,0.7,2.28,3
22.738,0,0,431,4.33,49.89,43.24,4.3,23.78,3
0.383,0.65,0.803,146,2.14,32.02,14.23,2.2,1.99,2
1.919,0.691,0.1,86,5.79,8.49,8.45,0,3.28,2
0.617,0.95,0.842,306,7.28,63.05,0.22,1.5,2.75,3
0.496,0.811,0.694,26,0.52,1.23,0.05,0,2.08,3
1.164,1.354,0.878,46,2.78,0.24,0.13,0,3.69,5
0.079,0.07,0.166,26,0.91,4.68,0.68,0.2,0.37,5
1.324,0.703,0.121,29,2.09,0.03,0.03,0,2.26,5
0.638,0.828,0.326,25,1.81,0.09,0,0,1.87,5
1.939,4.486,1.726,237,3.8,33.96,18.41,1.8,9.51,3
2.167,0.856,0.148,34,0.27,0.86,0.86,0,3.39,3
5.164,7.934,19.303,318,1.28,1.94,1.65,0.3,33.99,4
0.015,0.005,0.06,11,0.87,2.24,1.05,1,0.11,4
3.875,1.6,0.3,105,7.4,3.1,0.02,0,7,4
1.066,1.827,0.632,111,18.08,0,0,0,4.29,4
0.133,0.112,0.292,46,2.23,7.82,0.8,1.1,0.64,3
1.358,0.594,0.104,32,1.69,0.93,0.66,0,2.42,3
0.004,0.002,0.007,57,0,14.77,14.28,0,0.05,1
0.383,0.181,0.015,11,0.6,0.88,0.88,0,0.61,1
1.39,0.615,0.085,81,2,13.78,13.78,0,2.2,1
1.849,2.362,5.121,169,6.97,12.26,0.5,0.8,10.27,12
0.156,0.168,0.422,10,0.05,0.62,0.2,0,0.78,12
0.002,0.018,0.001,1,0.14,0,0,0,0.02,1
1.581,2.401,3.761,151,0.41,21.04,19.82,0.7,8.1,1
3.463,2.174,0.704,220,6.93,32.58,1.73,7,6.93,11
6.281,2.814,0.297,123,7.08,1.53,1.53,0,9.89,11
5.455,3.555,1.582,543,11.76,98.36,0.35,2.4,11.55,3
4.794,1.962,0.284,67,0.08,0.01,0.01,0,7.57,3
0.416,0.166,0.416,322,3.99,74.63,26.04,7,1.08,2
5.432,1.988,0.303,236,15.58,22.73,22.83,0,9.3,2
5.121,3.779,1.721,234,10.21,22.27,1.69,3.1,11.5,11
1.089,1.633,1.578,71,0.57,7.29,0.08,0.7,4.62,11
0.004,0.002,0.009,2,0,0.36,0,0,0,1
0,0,0,20,0.02,5.49,5.48,0,0,1
0.213,0.186,0.486,70,2.45,12.79,1.39,0.6,0.93,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
3.586,1.553,0.161,74,5.37,0.45,0.12,0,5.59,5
0.603,0.335,0.03,101,1.69,21.21,16.6,0.9,1.01,1
0.339,0.122,0.018,15,1.02,1.5,1.49,0,0.58,1
0.066,0.006,0.111,181,4.85,41.06,2.29,4.3,0.25,9
0.01,0.01,0.028,69,0.71,18.63,14.46,0.2,0.07,9
0,0,0,159,0,39.75,39.31,0,0,1
0,0,0,105,0.13,26.57,23.53,0,0.05,1
0.004,0.016,0.004,1,0.22,0,0,0,0.02,1
0,0,0,16,0,4.15,4.16,0,0.01,1
2.777,3.418,3.506,332,30.21,27.7,3.98,2.8,11.21,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.451,0.394,1.028,148,5.18,27.03,2.93,1.3,1.97,3
1.595,7.349,1.362,120,1.5,6.4,0.5,5,11,3
0.005,0.029,0.003,2,0.24,0,0,0,0.04,1
5.625,2.656,0.443,105,2.5,3.44,3.3,0,9.2,1
1.561,0.223,0.074,289,3.42,65.32,28.69,1,2.01,2
5.484,2.029,0.318,177,9.67,13.77,14.18,0,9.44,2
0.192,0.29,0.642,75,2.04,13.59,0.22,2,1.37,3
0.082,0.042,0.095,33,6.98,0.03,0,0,0.35,3
