Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
0.611,1.058,1.187,80,1.58,12.35,0.07,1.9,3.1,3
1.616,4.064,1.968,96,3.6,3.57,1.68,0.8,8.18,3
0.006,0.035,0.003,2,0.29,0,0,0,0.05,1
0.047,0.345,0.14,18,0.23,3.2,2.91,0.1,0.57,1
0,0,0,3,0.04,0.6,0,0,0,1
0.004,0.002,0.008,2,0,0.59,0,0,0,1
0.169,0.061,0.009,8,0.51,0.75,0.75,0,0.29,1
0,0,0,12,0,3.11,3.12,0,0.01,1
0.003,0.002,0.006,2,0,0.47,0,0,0,1
0.169,0.061,0.009,8,0.51,0.75,0.75,0,0.29,1
0,0,0,12,0,3.11,3.12,0,0.01,1
1.528,3.08,5.856,257,3.86,36.86,0.42,2.9,11.25,14
0.039,0.034,0.146,54,2.69,12.59,7.12,3.4,0.36,14
0.004,0.002,0.016,4,0.05,0.83,0.8,0,0.03,14
0.392,0.131,0.196,82,1.15,19.14,7.5,2,0.74,2
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,2
2.57,6.566,5.938,343,3.77,45.58,0.33,4.2,16.2,9
0.001,0.002,0.004,10,0.1,2.74,2.13,0,0.01,9
0,0,0,1,0.25,0,0,0,0,1
0.879,0.415,0.069,16,0.39,0.54,0.52,0,1.44,1
0.423,0.152,0.025,37,1.19,6.73,6.55,0.1,0.74,1
2.708,0.976,0.142,122,8.17,11.98,11.93,0,4.64,1
0.225,0.113,0.507,197,5.18,46.97,11.43,6.1,0.9,2
1.919,0.691,0.1,86,5.79,8.49,8.45,0,3.28,2
1.184,0.426,0.069,104,3.32,18.83,18.33,0.2,2.06,1
0,0,0,32,0,8.3,8.32,0,0.03,1
0.539,0.223,0.089,59,2.27,11.02,7.78,1.1,1.01,1
0,0,0,26,0.03,6.92,6.9,0,0,1
0.659,0.84,1.927,110,2.24,17.54,2.08,2.2,3.82,3
3.96,1.86,0.24,82,2.1,4.26,0.13,0,6.36,3
6.908,3.488,0.464,255,3.91,33.51,25.09,1.2,11.73,8
2.819,0.234,0.051,56,0.24,7.32,6.65,0.4,3.33,8
3.812,8.069,2.033,365,4.32,57.51,32.95,1.9,14.67,8
0.141,0.04,0.092,112,1.37,28.78,15.41,3.3,0.42,10
0.809,0.627,0.842,49,0.51,6.54,3.29,0.2,2.47,10
0.23,0.201,0.524,76,2.64,13.78,1.5,0.6,1.01,5
3.197,4.121,1.371,106,5.9,0.2,0.07,0,8.86,5
0.255,0.379,0.914,19,0.05,1.11,0.75,0,1.62,5
2.002,0.919,0.094,39,2.57,0.07,0.05,0,3.18,5
0.46,0.167,0.122,97,2.76,21.42,12.73,2.3,0.99,1
0,0,0,22,0.13,5.44,5.27,0,0.01,1
0.004,0.029,0.002,2,0.23,0,0,0,0.04,1
0.042,0.019,0.003,3,0.13,0.45,0.25,0,0.07,1
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
2.069,2.875,1.285,79,2.9,1.77,0.55,0,6.66,5
0.019,0.013,0.055,40,0,10.22,10.14,0,0.11,1
0,0,0,0,0,0,0,0,0,1
0.013,0.009,0.037,27,0,6.85,6.8,0,0.07,1
0,0,0,0,0,0,0,0,0,1
0.98,1.409,1.47,228,7.6,44.84,2.76,6.2,4.04,2
0,0,0,48,0,12.45,12.48,0,0.04,2
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
1.268,1.603,1.434,148,20.73,3.08,1.27,0,5.28,5
2.852,0.407,0.136,528,6.25,119.38,52.42,1.9,3.67,2
5.981,2.155,0.313,269,18.05,26.46,26.35,0,10.24,2
0.013,0.002,0.011,5,0.23,1.27,0.58,0.2,0.04,4
0.011,0.004,0.036,14,0.33,3.35,1.66,1,0.08,4
0.015,0.011,0.028,5,0.24,1.04,0.47,0.6,0.06,4
0.855,1.635,3.117,70,0.12,3.52,3.12,0,6.13,4
0.949,1.912,3.635,159,2.4,22.88,0.26,1.8,6.98,14
0.017,0.015,0.065,24,1.2,5.59,3.16,1.5,0.16,14
4.935,2.318,1.283,199,3.69,24.92,3.3,3.6,9.39,9
0.173,0.144,0.012,8,0.56,0.72,0.03,0.1,0.35,9
0.002,0.001,0.006,1,0,0.24,0,0,0,1
0.116,0.043,0.007,5,0.33,0.49,0.49,0,0.2,1
0,0,0,22,0,5.58,5.59,0,0.02,1
16.042,17.002,3.257,765,30.26,65.34,10.46,5.8,41.56,5
0.005,0.021,0.012,13,0.04,3.51,2.91,0.1,0.05,5
0.003,0.001,0.001,3,0.07,0.62,0.28,0.1,0.01,5
0.706,0.617,1.608,232,8.11,42.31,4.59,2,3.09,5
4.138,5.751,2.57,157,5.79,3.53,1.1,0,13.31,5
0.005,0.003,0.02,1,0.07,0.04,0.01,0,0.04,5
0.706,0.617,1.608,232,8.11,42.31,4.59,2,3.09,5
4.138,5.751,2.57,157,5.79,3.53,1.1,0,13.31,5
0.005,0.003,0.02,1,0.07,0.04,0.01,0,0.04,5
0.002,0.001,0.005,1,0,0.36,0,0,0,1
0,0,0,16,0,4.15,4.16,0,0.01,1
1.536,2.163,1.861,139,3.72,17.66,3.54,1.1,5.96,3
0.007,0.013,0.02,106,0,27.84,16.8,0,0.04,3
3.335,10.45,4.466,511,5.65,74.9,31.64,2.6,20.97,3
0.542,0.214,0.037,9,0.07,0.22,0.21,0,0.85,3
0.667,0.786,1.576,61,0.8,7.36,0.98,0.3,3.17,3
0.539,1.355,0.656,32,1.2,1.19,0.56,0.3,2.73,3
0.23,0.201,0.524,76,2.64,13.78,1.5,0.6,1.01,5
0.254,0.321,0.287,30,4.15,0.62,0.26,0,1.06,5
0.006,0.065,0.023,2,0.11,0.13,0.04,0.1,0.09,5
0.819,1.179,3.128,48,0.07,0.04,0.04,0,5.24,5
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,5
0.294,0.452,0.97,77,1.2,13.98,4.47,0.6,1.91,3
6.064,2.672,0.445,105,1.85,1.66,1.13,0,10.33,3
0.169,0.169,0.281,201,3.54,48.93,16.69,4.8,0.73,2
3.273,1.179,0.171,147,9.88,14.48,14.42,0,5.6,2
0.245,0.376,0.808,65,1,11.65,3.73,0.5,1.59,3
3.232,8.128,3.936,191,7.2,7.14,3.36,1.5,16.35,3
0.025,0.005,0.035,54,0.17,13.52,11.85,0.2,0.13,1
0,0,0,0,0,0,0,0,0,1
0.007,0.005,0.013,2,0.11,0.48,0.21,0.3,0.03,9
0.701,0.564,0.93,30,0.35,2.09,1.17,0,2.29,9
3.048,19.663,7.069,481,6.06,48.96,3.04,4.5,30.15,11
0.003,0.001,0.014,3,0.2,0.51,0.24,0.2,0.03,11
0.013,0.011,0.049,18,0.9,4.2,2.37,1.1,0.12,11
0.004,0.027,0.002,2,0.22,0,0,0,0.04,1
6.088,2.809,0.421,206,1.76,13.17,12.45,0,9.89,1
5.455,7.208,20.205,337,1.03,4.62,3.67,0,34.89,4
0.022,0.007,0.09,17,1.31,3.39,1.59,1.4,0.17,4
1.066,1.827,0.632,111,18.08,0,0,0,4.29,4
4.715,1.9,0.312,104,5.77,1.41,0.76,0,8.37,4
0.011,0.008,0.033,24,0,6.09,6.05,0,0.06,1
0,0,0,0,0,0,0,0,0,1
0.007,0,0.007,0,0.36,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1
3.164,1.494,0.249,59,1.41,1.94,1.86,0,5.18,1
0.001,0.009,0.001,1,0.07,0,0,0,0.01,1
0.095,0.035,0.005,3,0.17,0.24,0.25,0,0.16,1
0,0,0,2,0,0.52,0.52,0,0,1
0.494,0.714,0.343,89,2.95,14.82,0.55,0.7,1.86,3
3.596,1.471,0.213,50,0.06,0,0,0,5.68,3
0,0,0,2,0,0.07,0.03,0,0,1
0,0,0,0,0,0,0,0,0,1
12.031,5.261,0.801,367,6.2,41.82,37.6,1.2,19.49,8
1.625,0.642,0.111,26,0.2,0.64,0.64,0,2.55,8
0.058,0.008,0.05,24,1.02,5.72,2.63,0.8,0.17,9
4.248,4.166,8.847,172,0.77,1.25,0.82,0.1,18.32,9
0.014,0.005,0.046,18,0.42,4.31,2.13,1.3,0.11,9
4.248,4.166,8.847,172,0.77,1.25,0.82,0.1,18.32,9
0.019,0.014,0.036,6,0.31,1.34,0.6,0.7,0.08,9
4.248,4.166,8.847,172,0.77,1.25,0.82,0.1,18.32,9
0.002,0.007,0.025,5,0.11,1.24,0.79,0.3,0.05,10
0.005,0.008,0.023,9,0.12,2.33,1.6,0.4,0.05,10
0.003,0.01,0.06,8,0.19,1.92,0.71,1,0.1,10
0.018,0.005,0.012,14,0.18,3.67,1.97,0.4,0.05,10
0.002,0.008,0.045,7,0.22,1.55,0.79,0.9,0.08,10
0.004,0.001,0.007,7,0.04,1.85,1.39,0.3,0.02,10
0.002,0.002,0.007,9,0.1,2.32,1.74,0.2,0.02,10
0.001,0.009,0.001,1,0.07,0,0,0,0.01,1
0.346,0.128,0.02,26,2.06,3.17,3.03,0,0.58,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.004,0.013,0.014,26,0.18,6.96,4.4,1.7,0.06,10
0.023,0.036,0.018,42,0.18,11.4,7.8,0.7,0.12,10
0.102,0.47,0.087,8,0.1,0.41,0.03,0.3,0.7,10
0.257,0.536,0.497,183,4.3,38.7,15.97,3.4,2.43,2
3.971,1.469,0.231,128,7,9.97,10.27,0,6.83,2
0.005,0,0.005,8,0.28,1.7,0,0,0.01,1
0.395,0.6,0.94,38,0.1,5.26,4.96,0.2,2.03,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.019,0.004,0.026,40,0.13,10.03,8.79,0.2,0.1,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
1.001,2.379,2.049,98,7.08,3.83,0.34,0.2,5.87,12
0.003,0,0.004,0,0.02,0.06,0.04,0,0.01,12
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,5
2.804,1.123,0.475,335,31.87,41.93,30.83,4.8,5.21,1
1.616,4.064,1.968,96,3.6,3.57,1.68,0.8,8.18,1
4.583,2.004,0.305,140,2.36,15.93,14.32,0.5,7.43,8
0.542,0.214,0.037,9,0.07,0.22,0.21,0,0.85,8
10.959,5.928,3.246,384,12.5,33.29,5.83,1.4,22.29,5
1.914,2.485,0.978,75,5.43,0.27,0,0,5.61,5
4.57,3.467,1.236,248,5.72,33.92,1.11,1.6,9.9,6
0.003,0.002,0.011,0,0.03,0.02,0,0,0.02,6
0.798,2.023,1.37,280,6.02,57.93,24.8,5.3,4.42,2
1.675,0.619,0.094,127,9.97,15.3,14.62,0,2.8,2
0.039,0.073,0.129,38,1,8.04,0.22,0.3,0.29,3
1.895,0,0,36,0.36,4.16,3.6,0.4,1.98,3
3.92,3.353,8.215,291,11.56,22.74,1.73,1.6,17.04,12
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,12
0.04,0.016,0.106,21,0.83,4.59,2.83,1.3,0.24,12
0.035,0.02,0.058,106,2.23,25.02,2.83,1,0.12,2
1.919,0.691,0.1,86,5.79,8.49,8.45,0,3.28,2
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0,0,0,20,0.02,5.49,5.48,0,0,1
0.39,0.343,0.904,153,5.98,26.62,3.21,2.2,2.54,5
2.069,2.875,1.285,79,2.9,1.77,0.55,0,6.66,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,5
0.035,0.017,0.07,17,0,5.22,0,0,0,1
0,0,0,313,0,80.88,81.04,0,0.26,1
1.561,0.223,0.074,289,3.42,65.32,28.69,1,2.01,2
3.273,1.179,0.171,147,9.88,14.48,14.42,0,5.6,2
0.007,0,0.007,59,0.37,14.75,12.51,0,0.06,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.004,0,0.004,29,0.18,7.38,6.26,0,0.03,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.494,0.346,0.328,111,3.54,20.54,1.27,0.7,1.4,3
1.128,1.806,2.471,50,0.02,0.08,0,0,5.58,3
0,0,0,226,0,0,0,0,0,1
0.043,0.007,0.023,24,0.38,7.49,2.73,0.3,0.26,1
0.022,0.037,0.07,75,0.82,18.92,16.34,2.2,0.18,10
0,0,0,16,0,4.15,4.16,0,0.01,10
0.881,0.957,1.681,81,1.82,9.9,0.76,0.4,3.79,3
0.294,0.594,1.212,46,0.98,5.9,0.07,1.1,2.24,3
4.091,5.406,15.155,253,0.78,3.47,2.76,0,26.17,4
0.012,0.004,0.049,9,0.72,1.85,0.87,0.8,0.09,4
0.016,0.017,0.047,10,0.5,2.19,1.48,0.7,0.11,4
0.017,0.005,0.007,16,0.44,3.74,1.7,0.7,0.04,4
0.003,0,0.002,1,0.05,0.27,0.13,0,0.01,4
10.463,4.529,0.698,391,5.45,56.24,52.96,1,16.89,8
0,0,0,161,0,40.33,36,0,0,8
0.005,0.036,0.002,2,0.29,0,0,0,0.05,1
2.108,3.201,5.015,201,0.55,28.05,26.43,0.9,10.8,1
0.006,0.045,0.003,3,0.36,0,0,0,0.06,1
0,0,0,7,0.04,1.78,1.61,0,0,1
1.055,0.498,0.083,20,0.47,0.65,0.62,0,1.73,1
3.387,8.655,7.827,452,4.97,60.09,0.44,5.5,21.36,9
0,0,0,14,0.02,3.44,1.69,0,0,9
2.15,2.75,3.917,197,8.52,19.23,2.15,1.2,9.42,5
0.001,0,0.003,1,0.05,0.12,0.06,0.1,0.01,5
2.693,1.115,0.444,297,11.33,55.08,38.89,5.6,5.05,1
0.385,0.79,3.017,56,1.92,3.03,0.16,2.9,4.43,1
5.498,10.91,5.31,354,19.51,16.42,0.11,0.4,23.36,12
1.023,1.352,3.789,63,0.19,0.87,0.69,0,6.54,12
0.677,0.244,0.04,60,1.9,10.76,10.47,0.1,1.18,1
0,0,0,8,0,2.08,2.08,0,0.01,1
0.903,0.325,0.047,41,2.72,3.99,3.98,0,1.55,1
0.011,0.032,0.116,24,0.5,5.76,3.67,1.5,0.23,10
0,0,0,2,0,0.52,0.52,0,0,10
0.834,0.983,1.971,77,1,9.2,1.23,0.3,3.97,3
6.37,6.248,13.268,258,1.15,1.87,1.23,0.2,27.47,3
1.528,3.08,5.856,257,3.86,36.86,0.42,2.9,11.25,14
9.431,3.8,0.624,208,11.54,2.83,1.52,0,16.74,14
2.986,5.063,8.508,394,4.72,55.65,33.04,1.2,16.87,3
5.672,7.552,5.602,418,5.92,57.88,34.59,1.8,19.76,3
0.995,1.688,2.836,131,1.57,18.55,11.02,0.4,5.63,3
1.891,2.517,1.867,139,1.97,19.29,11.53,0.6,6.59,3
0.046,0.012,0.084,86,0.43,22.79,17.14,4,0.28,10
0.009,0.001,0.005,5,0.08,1.62,0.59,0.1,0.06,10
0.058,0.007,0.051,144,0.86,34.34,33.02,0.5,0.3,1
0,0,0,0,0,0,0,0,0,1
0.39,0.343,0.904,153,5.98,26.62,3.21,2.2,2.54,5
0.627,0.823,0.305,59,9.35,0.15,0,0,2.09,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
8.133,22.129,18.393,830,9.96,79.32,0.5,6.2,52.43,14
24.336,11.026,1.92,475,5.86,11.11,8.18,0,46.44,14
1.131,0.357,0.536,223,3.04,52.48,26,5.5,2.02,2
1.918,0.691,0.1,86,5.79,8.49,8.45,0,3.28,2
0.119,0.664,0.29,19,0.22,1.88,0.01,0.1,1.19,14
1.519,6.991,1.301,116,1.49,6.47,0.7,4.9,10.47,14
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
0.254,0.321,0.287,30,4.15,0.62,0.26,0,1.06,5
0.005,0.038,0.003,3,0.31,0,0,0,0.05,1
0.097,0.378,0.001,7,0.05,0.57,0.57,0,0.5,1
0.236,0.209,0.498,78,2.74,14.03,2.04,0.5,1.1,5
0.945,1.195,0.741,75,8.68,2.58,0.71,0.1,3.14,5
0.77,1.257,0.909,136,1.68,26.06,16.03,0.9,3.22,3
26.145,12.6,2.13,907,13.78,114.42,95,3.9,44.09,3
1.528,2.865,5.079,160,1.67,15.26,0.91,0.4,10.26,14
0.001,0.001,0.004,4,0.07,1.31,0.26,0.1,0.01,14
0.004,0.002,0.009,2,0,0.65,0,0,0,1
0.527,0.249,0.042,10,0.24,0.32,0.31,0,0.86,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.263,0.148,0.131,166,9.35,31.11,30.93,0.2,0.66,1
1.386,0.512,0.078,105,8.25,12.66,12.1,0,2.32,1
0.314,0.274,0.674,95,4.81,15.6,2.3,2.7,1.52,3
0,0,0,8,0.04,1.97,0.23,0.1,0,3
14.995,17.15,5.4,1051,46.9,124.85,23.9,10.1,40.56,5
0.007,0.001,0.006,3,0.13,0.73,0.33,0.1,0.02,5
7.098,2.86,0.469,156,8.68,2.13,1.15,0,12.6,5
0.362,0.322,0.765,120,4.2,21.55,3.13,0.8,1.68,5
1.008,1.245,1.416,124,10.99,9.99,0.75,3.4,4.41,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
0.003,0.001,0.012,2,0.18,0.47,0.22,0.2,0.02,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
0.008,0.003,0.003,8,0.22,1.87,0.85,0.3,0.02,5
8.262,1.741,1.539,259,4.96,29.97,2.72,1.8,13.24,3
0,0,0,43,0.04,11.54,11.5,0,0,3
1.407,2.639,4.678,147,1.54,14.05,0.84,0.4,9.45,14
0.004,0.004,0.01,11,0.19,3.71,0.74,0.2,0.03,14
0.446,0.536,1.305,113,2.55,19.99,0.35,0.8,2.33,3
4.253,10.886,6.805,201,0.05,0.2,0,0,22.6,3
4.303,27.76,9.979,679,8.55,69.12,4.3,6.3,42.57,11
0.046,0.017,0.107,17,0.6,3.42,1.2,2,0.3,11
0.002,0.018,0.001,1,0.14,0,0,0,0.02,1
0.375,0.192,0.008,10,0.05,1.16,0.15,0,0.65,1
0,0,0,16,0,4.15,4.16,0,0.01,1
1.49,3.144,5.676,183,2.06,19.14,0.09,1.3,11.48,14
8.111,3.675,0.64,158,1.95,3.7,2.73,0,15.48,14
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
10.945,11.095,0.929,308,17.23,0,0,0,26.04,5
8.064,3.125,0.496,171,9.79,1.03,0.14,0,14.28,5
0.159,0.08,0.358,139,3.66,33.15,8.07,4.3,0.64,2
2.269,0.839,0.132,73,4,5.7,5.87,0,3.9,2
0.011,0.001,0.019,29,0.08,7.04,6.63,0.1,0.07,1
0,0,0,0,0,0,0,0,0,1
0.004,0.002,0.01,2,0,0.39,0,0,0,1
0,0,0,35,0,9.06,9.08,0,0.03,1
0.352,0.307,0.801,116,4.04,21.09,2.29,1,1.54,3
7.192,2.943,0.426,100,0.12,0.01,0.01,0,11.36,3
0.236,0.209,0.498,78,2.74,14.03,2.04,0.5,1.1,3
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,3
5.946,6.916,0.67,170,6.19,2.43,1.16,0,14.82,5
0.379,0.337,0.801,126,4.4,22.55,3.28,0.8,1.76,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0,0,0,229,10.75,40.48,8.07,5.4,2.69,5
0.627,0.823,0.305,59,9.35,0.15,0,0,2.09,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
3.822,1.525,0.239,83,5.67,0.3,0,0,6.51,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
0.383,0.337,0.888,151,5.86,26.12,3.15,2.2,2.49,3
2.397,0.981,0.142,33,0.04,0,0,0,3.79,3
1.107,2.23,4.24,186,2.8,26.69,0.31,2.1,8.14,14
0.018,0.016,0.068,25,1.26,5.91,3.34,1.6,0.17,14
1.669,1.966,3.941,153,1.99,18.39,2.45,0.7,7.93,3
3.232,8.128,3.936,191,7.2,7.14,3.36,1.5,16.35,3
0.001,0,0.001,53,0.03,13.99,10.24,0.2,0,3
0.128,0.238,0.266,60,1.67,11.17,1.77,1.1,0.97,1
3.523,3.152,1.647,161,3.41,18,18,0,8.53,1
0.036,0.064,0.119,59,1.01,12.64,0.74,0.2,0.33,1
3.523,3.152,1.647,161,3.41,18,18,0,8.53,1
0.071,0.041,0.12,219,4.59,51.51,5.82,2,0.25,2
0.071,0.02,0.046,56,0.69,14.39,7.71,1.6,0.21,2
3.95,1.423,0.206,178,11.92,17.47,17.4,0,6.76,2
6.03,0.483,0.243,138,0.91,18.37,13.55,1.5,6.77,3
3.868,2.055,2.003,147,1.74,17.81,12.34,0.8,8.44,3
1.599,3.328,6.385,293,5.61,40.85,0.43,2.7,11.91,14
3.484,5.699,4.881,180,3.65,8.62,0.33,0.3,14.64,14
33.053,14.272,2.176,797,11.2,71.33,66.08,0,51.84,8
0,0,0,173,0.97,45.61,45.6,0,0,8
0.314,0.274,0.674,95,4.81,15.6,2.3,2.7,1.52,3
3.232,8.128,3.936,191,7.2,7.14,3.36,1.5,16.35,3
0.189,0.205,0.276,139,5.54,27.5,4.43,0.8,0.69,3
2.021,0.891,0.148,35,0.62,0.55,0.38,0,3.44,3
6.89,5.258,2.178,198,12.94,0.74,0.38,0,15.57,5
0.39,0.343,0.904,153,5.98,26.62,3.21,2.2,2.54,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
3.15,0.14,0.105,352,4.04,75.34,30,0.7,3.52,2
6.619,2.448,0.384,214,11.67,16.62,17.12,0,11.39,2
0.056,0.014,0.102,104,0.52,27.62,20.78,4.8,0.34,10
6.164,2.522,0.365,233,0.93,38.77,38.77,0,9.73,10
5.61,6.81,4.358,227,14.51,0.85,0.43,0,18.02,5
1.557,0.932,1.219,163,4.37,26.3,1.98,1.9,4.26,5
7.887,3.178,0.522,174,9.65,2.36,1.27,0,14,5
0.009,0.016,0.03,15,0.25,3.16,0.18,0,0.08,1
2.615,2.269,1.21,122,2.7,13.63,13.63,0,6.24,1
0.009,0.016,0.03,15,0.25,3.16,0.18,0,0.08,1
2.615,2.269,1.21,122,2.7,13.63,13.63,0,6.24,1
5.706,12.376,10.418,491,25.47,23.89,0.13,1.4,32.58,12
2.85,6.531,13.018,264,0.5,13.3,9.03,0.2,23.27,12
11.377,9.796,1.841,490,29.56,30.72,4.82,1.1,26.75,5
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
0.809,0.627,0.842,49,0.51,6.54,3.29,0.2,2.47,3
0.933,0.518,0.495,46,0.66,6.53,2.4,0.2,2.07,3
0.05,0.019,0.161,65,1.47,15.09,7.47,4.4,0.38,9
19.111,18.745,39.803,773,3.46,5.62,3.69,0.5,82.41,9
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
0.507,0.641,0.573,59,8.29,1.23,0.51,0,2.11,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
8.064,3.125,0.496,171,9.79,1.03,0.14,0,14.28,5
0.149,0.179,0.435,38,0.85,6.67,0.12,0.3,0.78,3
3.232,8.128,3.936,191,7.2,7.14,3.36,1.5,16.35,3
0.056,0.014,0.102,104,0.52,27.62,20.78,4.8,0.34,10
2.646,1.164,0.099,53,3.75,0.33,0.33,0,4.12,10
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0.095,0.035,0.005,3,0.17,0.24,0.25,0,0.16,1
0.531,0.447,1.168,184,8.92,31.26,3.2,4.4,2.58,3
0.922,2.585,1.469,83,4.14,5.7,1.49,0.8,5.44,3
0.701,1.791,1.619,94,1.03,12.43,0.09,1.1,4.42,9
1.982,3.242,2.777,102,2.07,4.9,0.19,0.2,8.33,9
1.053,0.059,0.029,116,1.4,25.07,10.47,0.5,1.2,2
0.088,0.153,0.186,42,0.57,9.24,3.81,0.6,0.48,2
2.269,0.839,0.132,73,4,5.7,5.87,0,3.9,2
0.946,0.35,0.055,31,1.67,2.37,2.45,0,1.63,2
0.002,0.001,0.005,1,0,0.36,0,0,0,1
0,0,0,8,0,2.08,2.08,0,0.01,1
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,1
22.202,19.103,2.616,811,53.19,31.55,5.3,1.1,51.06,5
1.914,2.485,0.978,75,5.43,0.27,0,0,5.61,5
0,0,0,16,1.46,2.52,2.22,0,0,1
0,0,0,96,0,24.9,24.95,0,0.08,1
21.796,11.779,6.127,759,27.36,62.04,11.5,6.5,45.05,5
8.276,11.501,5.141,315,11.58,7.07,2.21,0,26.62,5
0.005,0,0.005,0,0.27,0,0,0,0,1
0.677,0.244,0.035,31,2.04,3,2.98,0,1.16,1
0.937,0.597,1.483,118,2.81,19.18,0,0.9,3.28,3
6.464,16.256,7.872,382,14.4,14.27,6.72,3.1,32.7,3
0.02,0.004,0.039,32,0.15,7.59,5.76,0.7,0.11,9
0.009,0.002,0.023,13,0.4,2.98,1.81,0.8,0.05,9
0.124,0.42,0.359,27,0.68,3.98,0.05,0.6,0.95,3
0.349,1.73,0.726,33,1.12,1,0.33,0.5,2.96,3
0.057,0.027,0.099,28,1.4,6.06,2.73,2.2,0.26,9
0,0,0,1,0,0.05,0.02,0,0,9
0.26,1.38,0.782,59,0.95,8.07,0.86,1.1,2.53,3
3.232,8.128,3.936,191,7.2,7.14,3.36,1.5,16.35,3
14.681,6.09,0.938,456,13.63,46.34,43.26,1,24.27,1
0.539,1.355,0.656,32,1.2,1.19,0.56,0.3,2.73,1
0.005,0.003,0.011,3,0,0.81,0,0,0,1
0.095,0.035,0.005,3,0.17,0.24,0.25,0,0.16,1
4.05,9.37,3.605,495,7.94,70.95,38.46,3.7,19.86,3
2.167,0.856,0.148,34,0.27,0.86,0.86,0,3.39,3
0.646,0.131,0.247,291,64.58,5.17,0,2.6,1.29,1
0,0,0,0,0,0,0,0,0,1
2.647,3.642,2.893,209,9.98,16.06,2.22,0.6,11.38,5
0.006,0.065,0.023,2,0.11,0.13,0.04,0.1,0.09,5
0.017,0.048,0.174,36,0.75,8.64,5.5,2.3,0.34,10
1.521,0.689,0.12,30,0.37,0.7,0.51,0,2.9,10
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0,0,0,3,0,0.91,0.8,0,0,1
1.055,0.498,0.083,20,0.47,0.65,0.62,0,1.73,1
3.443,5.29,12.872,212,0.85,1.29,1.1,0.2,22.66,4
0.017,0.005,0.068,13,0.98,2.54,1.2,1.1,0.13,4
7.073,2.85,0.468,156,8.65,2.12,1.14,0,12.55,4
1.599,2.74,0.949,166,27.12,0,0,0,6.44,4
0.48,2.105,0.534,73,1.85,9.18,1.43,0.7,3.27,3
0.667,0.917,0.233,47,6.67,0.07,0,0,2,3
0.347,2.322,0.273,113,7.25,13,5.35,4.7,3.5,1
0.195,1.44,0.586,37,0.98,3.2,1.98,0.5,2.34,1
1.428,7.964,3.478,223,2.68,22.61,0.14,1.3,14.27,14
6.311,5.076,8.374,270,3.17,18.84,10.5,0.3,20.58,14
0.007,0.004,0.014,4,0,1.08,0,0,0,1
0,0,0,16,0,4.15,4.16,0,0.01,1
1.687,3.398,6.461,283,4.26,40.67,0.47,3.2,12.41,14
2.882,10.154,7.039,309,9.71,23.55,3.52,7.1,21.24,14
